submission_id,timestamp,workshop_id,name,duration_sec,answers_json,score_x_raw,score_y_raw,archetype,animal_x_mod,animal_y_mod,animal_note,score_x_final,score_y_final,outlier_flag,interpretation,age,education,field,gender,user_agent,version
7b6fa8a3,2026-04-27T20:12:28.131Z,test-2026-04-27,Miloš,55,"{""q1"":""gt2y"",""q2"":""weekly"",""q3"":[""claude"",""gemini"",""notebooklm""],""q4"":""one"",""q5"":[""long_prompt"",""custom_gpt""],""q6"":3,""q7"":""trust"",""q8"":[""dependency"",""hallucinations""],""q9"":4,""q10"":{""animalSelf"":""lev"",""animalAi"":""chobotnice"",""reasonSelf"":""proto"",""reasonAi"":""proto""}}",52,-1,realistic_power_user,2,0,"Lev bez důvodu = mírně sebevědomé, chobotnice bez důvodu = neutrální default; ""proto"" neposkytuje žádný rozlišovací signál.",52,49,FALSE,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",0.1.0,
d5f2e331,2026-04-27T20:23:00.639Z,test-2026-04-27,Karel,63,"{""q1"":""lt6m"",""q2"":""monthly"",""q3"":[""chatgpt""],""q4"":""one"",""q5"":[""long_prompt"",""automation""],""q6"":5,""q7"":""trust"",""q8"":[""hallucinations"",""ethics"",""dependency""],""q9"":3,""q10"":{""animalSelf"":""lev"",""reasonSelf"":""nevím"",""animalAi"":""klokan"",""reasonAi"":""skáče a má kapsu""}}",29,11,casual_enthusiast,2,2,"Lev bez důvodu → mírně pozitivní sebevnímání; klokan ""skáče a má kapsu"" evokuje pohyblivost a užitečnost, žádná hrozba.",29,63,FALSE,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",0.1.0,
4a30e670,2026-04-27T20:41:34.494Z,test-2026-04-27,Milos,292,"{""q1"":""lt6m"",""q2"":""monthly"",""q3"":[""chatgpt"",""claude""],""q4"":""one"",""q5"":[""long_prompt""],""q6"":1,""q7"":""verify"",""q8"":[""unknown""],""q9"":3,""q10"":{""animalSelf"":""lev"",""reasonSelf"":""nevím"",""animalAi"":""tur"",""reasonAi"":""nevím""}}",26,-13,casual_skeptic,2,-2,"Lev bez důvodu = sebevědomé přirovnání, tur jako AI = síla/masa k respektu, obojí bez vysvětlení neumožňuje hlubší interpretaci.",26,35,FALSE,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",0.1.0,
8ebe2c02,2026-04-27T20:51:04.680Z,test-2026-04-27,Miloš,56,"{""q1"":""gt2y"",""q2"":""weekly"",""q3"":[""chatgpt"",""claude"",""gemini"",""notebooklm"",""audio""],""q4"":""multi"",""q5"":[""long_prompt"",""custom_gpt""],""q6"":4,""q7"":1,""q8"":[""hallucinations"",""safety""],""q9"":4,""q10"":{""animalSelf"":""lev"",""animalAi"":""drak""}}",66,-5,realistic_power_user,3,-2,"Lev bez důvodu → dravec se silnou agencí (+3); drak jako AI = apex síla, respekt, ne hrozba (-2).",66,43,FALSE,,,,,"Vidíš sebe jako přirozeného vůdce s agencí — a AI vnímáš jako mocnou, ale potenciálně nekontrolovatelnou sílu, kterou je nutné respektovat, ne jen používat. Kombinace lev + drak naznačuje, že AI pro tebe není nástroj, ale spíš rival nebo spojenec se svéhlavostí. Zajímalo by mě, jestli draka chceš ochočit, nebo ho raději obcházet z povzdálí.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",0.1.0
cce985bf,2026-04-27T21:13:14.170Z,260427,Miloš,44,"{""q1"":""lt6m"",""q2"":""monthly"",""q3"":[""chatgpt"",""claude"",""perplexity""],""q4"":""one"",""q5"":[""long_prompt"",""custom_gpt""],""q6"":5,""q7"":5,""q8"":[""hallucinations"",""jobs"",""ethics""],""q9"":3,""q10"":{""animalSelf"":""Lev"",""animalAi"":""Chobotnice""}}",30,25,casual_enthusiast,3,0,Lev bez důvodu → defaultní hodnota dravce (+3); chobotnice bez důvodu → neutrální default (0).,30,75,FALSE,,,,,"Vidíš se jako někdo s přirozenou autoritou a instinktem vést — lev není volba skromných. AI pro tebe zatím není ani hrozba, ani kamarád, spíš fascinující entita s příliš mnoha chapadly. Otázka je, jestli chceš ta chapadla řídit, nebo je zatím jen obdivuješ z bezpečné vzdálenosti.","Mozilla/5.0 (iPhone; CPU iPhone OS 26_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/128.0.6613.92 Mobile/15E148 Safari/604.1",0.1.0
5b4d5d40,2026-04-28T05:45:31.939Z,test,Miloš,56,"{""q1"":""gt2y"",""q2"":""daily"",""q3"":[""chatgpt"",""claude"",""gemini"",""internal""],""q4"":""multi"",""q5"":[""long_prompt"",""custom_gpt""],""q6"":5,""q7"":4,""q8"":[""jobs"",""dependency""],""q9"":5,""q10"":{""animalSelf"":""Lev"",""animalAi"":""Orel""}}",72,31,optimistic_power_user,3,-2,"Lev = klasický apex dravec bez důvodu → agency a sebevědomí; Orel = apex predátor AI, síla, kterou je třeba respektovat.",72,79,FALSE,,,,,"Vidíš sebe jako silného hráče, který přichází k AI z pozice síly, ne z pozice nouze. Orel nad tebou ale nekrouží jako parťák — je to dravec, který má vlastní cíle. Někde v tobě sedí vědomí, že tahle síla není automaticky na tvé straně.","Mozilla/5.0 (iPhone; CPU iPhone OS 26_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/128.0.6613.92 Mobile/15E148 Safari/604.1",0.1.0
e03145c1,2026-04-28T10:54:07.421Z,workshop284,Tomáš,67,"{""q1"":""6m_2y"",""q2"":""monthly"",""q3"":[""chatgpt"",""claude"",""gemini"",""copilot"",""perplexity""],""q4"":""no"",""q5"":[""long_prompt""],""q6"":4,""q7"":2,""q8"":[""hallucinations"",""safety"",""ethics""],""q9"":3,""q10"":{""animalSelf"":""medved"",""animalAi"":""kapr""}}",26,-6,casual_skeptic,-1,-1,"Medvěd naznačuje sílu, ale spíš pomalost a teritorialitu než agenci; kapr je pasivní, podceňovaný – bez důvodu nelze číst optimismus.",26,43,FALSE,,,,,"Vidíš sebe jako někoho, kdo má svou váhu a svůj terén – ale zatím AI moc nepotřebuješ, nebo ji prostě přehlížíš jako kapra ve rybníku. Kapr přežije, ale nestrhne pozornost. Možná právě to je tvůj tiše skeptický signál: AI tu je, ale nijak zvlášť tě neoslňuje.","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7.5 Mobile/15E148 Safari/604.1",0.1.0
6f41657a,2026-04-28T10:54:26.612Z,workshop284,Miloš,69,"{""q1"":""gt2y"",""q2"":""always"",""q3"":[""chatgpt"",""claude"",""gemini"",""copilot"",""perplexity"",""notebooklm"",""image"",""audio""],""q4"":""multi"",""q5"":[""long_prompt"",""custom_gpt"",""automation""],""q6"":5,""q7"":4,""q8"":[""authenticity""],""q9"":5,""q10"":{""animalSelf"":""lev"",""animalAi"":""chobotnice""}}",90,34,optimistic_power_user,3,0,Lev bez důvodu → default pro apex predátora: silná agency. Chobotnice bez důvodu → neutrální default (0).,90,84,FALSE,,,,,"Vidíš sebe jako silného a sebevědomého hráče – lev se neptá na dovolení. AI ti přijde jako chobotnice: mnoho chapadel, fascinující inteligence, ale zatím bez jasného emočního zabarvení. Otázka je, jestli tu chobotnici používáš jako nástroj, nebo ji jen s respektem obdivuješ z bezpečné vzdálenosti.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",0.1.0
6f11fbbc,2026-04-28T10:54:25.844Z,workshop284,David,89,"{""q1"":""6m_2y"",""q2"":""weekly"",""q3"":[""gemini"",""copilot""],""q4"":""one"",""q5"":[""long_prompt""],""q6"":5,""q7"":3,""q8"":[""hallucinations""],""q9"":5,""q10"":{""animalSelf"":""Želva "",""animalAi"":""Zajíc ""}}",39,27,casual_enthusiast,-2,-2,"Sebe jako želva (pomalý, opatrný), AI jako zajíc (rychlý, ale nestálý) — klasická narativní opozice z bajky, žádný důvod neuveden.",39,75,FALSE,,,,,"Vidíš sebe jako pomalého a rozvážného hráče, zatímco AI ti připomíná zajíce z Ezopovy bajky — rychlý, ale možná nespolehlivý. Tohle přirovnání naznačuje, že na AI příliš nesázíš a věříš spíš vlastní trpělivosti. Pozor ale — v téhle bajce zajíc někdy vyhraje, pokud se nevyspal.","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",0.1.0
58658ccd,2026-04-28T10:54:39.718Z,workshop284,David,98,"{""q1"":""never"",""q2"":""monthly"",""q3"":[""copilot""],""q4"":""no"",""q5"":[""none""],""q6"":5,""q7"":5,""q8"":[""ethics""],""q9"":5,""q10"":{""animalSelf"":""Byk"",""animalAi"":""Pes""}}",6,41,casual_enthusiast,2,7,"Byk = silný, přímý, sebevědomý (velké zvíře s jasnou agenturou); Pes = věrný, užitečný pomocník — klasický obraz partnerství.",6,98,FALSE,,,,,"Vidíš sebe jako někoho, kdo jde tvrdě za cílem a neuhýbá — a AI bereš jako nástroj, který ti v tom loajálně pomáhá. Kombinace byk + pes naznačuje, že od AI nečekáš zázraky ani se jí nebojíš: prostě musí poslouchat a táhnout za jeden provaz. Otázka je, jestli tě nenapadne, že pes občas přemýšlí sám za sebe.","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",0.1.0
